date,continent,actual,forecast,error,abs_error,pct_error
2000-01-01,TOTAL,91318.0,0.0,91318.0,91318.0,100.0
2000-02-01,TOTAL,80424.0,68210.27438234986,12213.72561765014,12213.72561765014,15.186667683340968
2000-03-01,TOTAL,75716.0,69782.6484683714,5933.351531628607,5933.351531628607,7.836324596688423
2000-04-01,TOTAL,62957.0,65377.26580818361,-2420.2658081836125,2420.2658081836125,-3.8443156570097248
2000-05-01,TOTAL,53855.0,57289.81177333593,-3434.8117733359322,3434.8117733359322,-6.377888354537058
2000-06-01,TOTAL,52278.0,56038.58087750934,-3760.580877509339,3760.580877509339,-7.1934291241236075
2000-07-01,TOTAL,67061.0,50705.746861257685,16355.253138742315,16355.253138742315,24.388621014810866
2000-08-01,TOTAL,64874.0,60139.367213921745,4734.632786078255,4734.632786078255,7.298197715692349
2000-09-01,TOTAL,59626.0,62997.24946385501,-3371.2494638550124,3371.2494638550124,-5.653992325252428
2000-10-01,TOTAL,66774.0,53686.27768762167,13087.722312378333,13087.722312378333,19.600027424414193
2000-11-01,TOTAL,68772.0,56822.68260271354,11949.31739728646,11949.31739728646,17.375265220273455
2000-12-01,TOTAL,68817.0,56726.55154472146,12090.448455278543,12090.448455278543,17.568985069501057
2001-01-01,TOTAL,114615.0,86874.6739495398,27740.326050460193,27740.326050460193,24.20305025560371
2001-02-01,TOTAL,107891.0,95896.90241994587,11994.097580054135,11994.097580054135,11.11686570710637
2001-03-01,TOTAL,100995.0,98949.43881532026,2045.56118467974,2045.56118467974,2.0254083713844646
2001-04-01,TOTAL,84549.0,86770.96576827789,-2221.9657682778925,2221.9657682778925,-2.628021346530287
2001-05-01,TOTAL,61234.0,78950.83577723085,-17716.83577723085,17716.83577723085,-28.933004176161692
2001-06-01,TOTAL,59574.0,69520.88398295686,-9946.88398295686,9946.88398295686,-16.6966864453568
2001-07-01,TOTAL,78543.0,65936.89949932936,12606.10050067064,12606.10050067064,16.049935068269154
2001-08-01,TOTAL,73986.0,76752.52781012209,-2766.52781012209,2766.52781012209,-3.739258522047536
2001-09-01,TOTAL,56266.0,75440.1266434499,-19174.126643449898,19174.126643449898,-34.07764305877421
2001-10-01,TOTAL,58872.0,59985.75574931001,-1113.7557493100103,1113.7557493100103,-1.8918259092777727
2001-11-01,TOTAL,60806.0,62040.73824952355,-1234.7382495235506,1234.7382495235506,-2.030619099305251
2001-12-01,TOTAL,66807.0,60669.40265073416,6137.597349265838,6137.597349265838,9.187057268348882
2002-01-01,TOTAL,73318.0,92989.60646427506,-19671.606464275057,19671.606464275057,-26.830527925304914
2002-02-01,TOTAL,66973.0,77984.15860157844,-11011.158601578441,11011.158601578441,-16.441190631416305
2002-03-01,TOTAL,61748.0,73504.32074319033,-11756.320743190328,11756.320743190328,-19.039192756348918
2002-04-01,TOTAL,47035.0,58853.01438518084,-11818.014385180839,11818.014385180839,-25.12600060631623
2002-05-01,TOTAL,49495.0,50682.09464671456,-1187.0946467145623,1187.0946467145623,-2.3984132674301692
2002-06-01,TOTAL,55748.0,53912.54564608489,1835.4543539151127,1835.4543539151127,3.292412918696837
2002-07-01,TOTAL,70877.0,61614.88004024336,9262.119959756637,9262.119959756637,13.067878098334631
2002-08-01,TOTAL,68161.0,70014.3239373053,-1853.323937305293,1853.323937305293,-2.7190386545169423
2002-09-01,TOTAL,57979.0,61287.93190516735,-3308.931905167352,3308.931905167352,-5.7071213804435255
2002-10-01,TOTAL,56317.0,57064.01318638291,-747.0131863829083,747.0131863829083,-1.3264435008663606
2002-11-01,TOTAL,57712.0,59540.10770671711,-1828.1077067171136,1828.1077067171136,-3.1676388042644748
2002-12-01,TOTAL,70129.0,55072.172537786224,15056.827462213776,15056.827462213776,21.470187029921682
2003-01-01,TOTAL,76971.0,86654.19836274112,-9683.198362741125,9683.198362741125,-12.580320331996628
2003-02-01,TOTAL,70003.0,77509.71546801252,-7506.715468012524,7506.715468012524,-10.723419664889395
2003-03-01,TOTAL,67437.0,68518.4400828523,-1081.4400828523067,1081.4400828523067,-1.603630177576563
2003-04-01,TOTAL,57416.0,59470.82586963994,-2054.8258696399425,2054.8258696399425,-3.578838424202213
2003-05-01,TOTAL,44763.0,57896.681253102746,-13133.681253102746,13133.681253102746,-29.34048489400341
2003-06-01,TOTAL,43701.0,49134.38663976819,-5433.386639768192,5433.386639768192,-12.433094528198879
2003-07-01,TOTAL,52658.0,56147.42371165528,-3489.423711655283,3489.423711655283,-6.626578509733153
2003-08-01,TOTAL,55955.0,57937.55993944864,-1982.5599394486417,1982.5599394486417,-3.543132766417017
2003-09-01,TOTAL,50309.0,49380.62553264206,928.3744673579422,928.3744673579422,1.8453447044424303
2003-10-01,TOTAL,52607.0,51400.337736181944,1206.662263818056,1206.662263818056,2.293729472918159
2003-11-01,TOTAL,52471.0,55110.3623986673,-2639.3623986672974,2639.3623986672974,-5.0301355008810535
2003-12-01,TOTAL,69383.0,51215.20485506261,18167.795144937387,18167.795144937387,26.184793313833914
2004-01-01,TOTAL,88969.0,82440.46214143382,6528.537858566182,6528.537858566182,7.337991725844038
2004-02-01,TOTAL,86045.0,81351.98531935184,4693.014680648164,4693.014680648164,5.454139904292131
2004-03-01,TOTAL,76117.0,76004.46560801094,112.53439198905835,112.53439198905835,0.14784396651084297
2004-04-01,TOTAL,67457.0,66717.63269075923,739.3673092407698,739.3673092407698,1.0960572056877267
2004-05-01,TOTAL,48664.0,61368.960573179276,-12704.960573179276,12704.960573179276,-26.10751391825431
2004-06-01,TOTAL,47301.0,50415.963565708225,-3114.9635657082254,3114.9635657082254,-6.585407424173327
2004-07-01,TOTAL,58762.0,59797.37736233752,-1035.3773623375164,1035.3773623375164,-1.7619845518149764
2004-08-01,TOTAL,62802.0,60938.15723045481,1863.84276954519,1863.84276954519,2.9678079830979747
2004-09-01,TOTAL,56422.0,54860.678802544644,1561.321197455356,1561.321197455356,2.7672205832039913
2004-10-01,TOTAL,60496.0,58407.279860974806,2088.720139025194,2088.720139025194,3.4526582567858934
2004-11-01,TOTAL,58851.0,59424.94780236437,-573.9478023643678,573.9478023643678,-0.9752558195516946
2004-12-01,TOTAL,85890.0,60376.40364067519,25513.59635932481,25513.59635932481,29.704967236377705
2005-01-01,TOTAL,105732.0,95758.6889694168,9973.311030583194,9973.311030583194,9.432632533748718
2005-02-01,TOTAL,91165.0,93510.56942621773,-2345.5694262177276,2345.5694262177276,-2.5728837012205643
