date,continent,actual,forecast
2000-01-01,Oceania,859.0,0.0
2000-02-01,Oceania,769.0,754.7304193149084
2000-03-01,Oceania,725.0,733.5753710307831
2000-04-01,Oceania,604.0,737.6255925272214
2000-05-01,Oceania,520.0,690.6167368124676
2000-06-01,Oceania,514.0,636.2611823799235
2000-07-01,Oceania,662.0,646.9649877977803
2000-08-01,Oceania,633.0,641.2962263216064
2000-09-01,Oceania,586.0,640.9821751349966
2000-10-01,Oceania,659.0,623.8895918215353
2000-11-01,Oceania,675.0,647.5484939172488
2000-12-01,Oceania,672.0,646.6825985926195
2001-01-01,Oceania,1086.0,661.3668975452748
2001-02-01,Oceania,1054.0,790.2597724806278
2001-03-01,Oceania,1068.0,729.6396460228092
2001-04-01,Oceania,819.0,784.8965693121773
2001-05-01,Oceania,596.0,744.1361404409666
2001-06-01,Oceania,589.0,654.8997615225919
2001-07-01,Oceania,788.0,772.1447788932295
2001-08-01,Oceania,772.0,701.123840775297
2001-09-01,Oceania,556.0,748.425703982593
2001-10-01,Oceania,581.0,677.070492594453
2001-11-01,Oceania,603.0,683.7814188567805
2001-12-01,Oceania,666.0,722.581076929846
2002-01-01,Oceania,645.0,702.8778091220285
2002-02-01,Oceania,598.0,748.3226597133557
2002-03-01,Oceania,556.0,669.9015174673725
2002-04-01,Oceania,426.0,655.3148393841082
2002-05-01,Oceania,447.0,591.4177861512857
2002-06-01,Oceania,505.0,569.5128012599603
2002-07-01,Oceania,641.0,652.7666013334814
2002-08-01,Oceania,618.0,599.782873608824
2002-09-01,Oceania,525.0,622.3919482836
2002-10-01,Oceania,509.0,574.9340562150727
2002-11-01,Oceania,521.0,588.5629868957275
2002-12-01,Oceania,628.0,608.350682646318
2003-01-01,Oceania,555.0,638.6272604490373
2003-02-01,Oceania,756.0,624.2369529533099
2003-03-01,Oceania,504.0,658.1769091518129
2003-04-01,Oceania,439.0,542.574696556252
2003-05-01,Oceania,588.0,522.4270841269191
2003-06-01,Oceania,472.0,607.0521832466766
2003-07-01,Oceania,430.0,514.8251185673201
2003-08-01,Oceania,481.0,582.9427517692648
2003-09-01,Oceania,498.0,526.8908309032125
2003-10-01,Oceania,648.0,509.9476781689034
2003-11-01,Oceania,510.0,623.9039237448703
2003-12-01,Oceania,601.0,490.5194170155622
2004-01-01,Oceania,584.0,658.3736704499007
2004-02-01,Oceania,1083.0,594.0634455672209
2004-03-01,Oceania,572.0,697.3975906720448
2004-04-01,Oceania,543.0,557.2617510202651
2004-05-01,Oceania,857.0,492.75007688863707
2004-06-01,Oceania,673.0,767.8863984639911
2004-07-01,Oceania,554.0,466.6719044076901
2004-08-01,Oceania,581.0,689.0548674942897
2004-09-01,Oceania,630.0,585.4607193681362
2004-10-01,Oceania,897.0,536.4628771502797
2004-11-01,Oceania,661.0,816.78225653429
2004-12-01,Oceania,901.0,473.7305587565769
2005-01-01,Oceania,688.0,871.2734760871341
2005-02-01,Oceania,1075.0,679.7239459028503
2005-03-01,Oceania,581.0,709.1125771303552
2005-04-01,Oceania,455.0,746.5003993531482
2005-05-01,Oceania,906.0,406.75809271656186
2005-06-01,Oceania,724.0,968.0780680865284
2005-07-01,Oceania,730.0,465.8436911479445
2005-08-01,Oceania,534.0,752.1245366586365
