date,continent,actual,forecast,error
2024-01-01,Oceania,1677.0,-117091.7066958125,118768.7066958125
2024-02-01,Oceania,2109.0,-117680.00540870066,119789.00540870066
2024-03-01,Oceania,1565.0,-118244.07886009006,119809.07886009006
2024-04-01,Oceania,928.0,-118761.41030935607,119689.41030935607
2024-05-01,Oceania,546.0,-119233.45863903071,119779.45863903071
2024-06-01,Oceania,580.0,-119673.41023808742,120253.41023808742
2024-07-01,Oceania,730.0,-120089.39955528818,120819.39955528818
2024-08-01,Oceania,611.0,-120477.51235468585,121088.51235468585
2024-09-01,Oceania,1242.0,-120829.17791056726,122071.17791056726
2024-10-01,Oceania,1002.0,-121147.84007967707,122149.84007967707
2024-11-01,Oceania,1129.0,-121453.78061698703,122582.78061698703
2024-12-01,Oceania,1623.0,-121768.30061448757,123391.30061448757
2024-01-01,TOTAL,163598.0,129979.35341190136,33618.646588098636
2024-02-01,TOTAL,170305.0,130088.66232959297,40216.337670407025
2024-03-01,TOTAL,157683.0,126533.5336341004,31149.4663658996
2024-04-01,TOTAL,102172.0,102858.1144199046,-686.1144199045957
2024-05-01,TOTAL,84116.0,86801.62688095677,-2685.62688095677
2024-06-01,TOTAL,82402.0,89205.80729320769,-6803.80729320769
2024-07-01,TOTAL,108089.0,98116.12310454794,9972.876895452064
2024-08-01,TOTAL,91504.0,96520.31887243812,-5016.318872438118
2024-09-01,TOTAL,116003.0,95945.35710774657,20057.642892253425
2024-10-01,TOTAL,130985.0,100910.00375426516,30074.996245734845
2024-11-01,TOTAL,145148.0,108214.7068401783,36933.2931598217
2024-12-01,TOTAL,176121.0,127933.78122063882,48187.21877936118
2024-01-01,Africa,303.0,359.8639593152714,-56.863959315271416
2024-02-01,Africa,446.0,340.53379945591905,105.46620054408095
2024-03-01,Africa,337.0,379.4610649998643,-42.46106499986428
2024-04-01,Africa,402.0,360.5172867721724,41.48271322782762
2024-05-01,Africa,397.0,349.8507345175367,47.149265482463306
2024-06-01,Africa,225.0,312.9284807727589,-87.92848077275892
2024-07-01,Africa,259.0,341.3027179995031,-82.3027179995031
2024-08-01,Africa,260.0,342.3002004211363,-82.30020042113631
2024-09-01,Africa,302.0,371.07758039343474,-69.07758039343474
2024-10-01,Africa,342.0,350.91607615373465,-8.91607615373465
2024-11-01,Africa,546.0,389.3435015745548,156.6564984254452
2024-12-01,Africa,439.0,409.0332641071442,29.96673589285581
2024-01-01,America_Central_E_Caribe,912.0,1395.5308434389297,-483.53084343892965
2024-02-01,America_Central_E_Caribe,843.0,1402.7951202337395,-559.7951202337395
2024-03-01,America_Central_E_Caribe,1302.0,1475.8414371339468,-173.84143713394678
2024-04-01,America_Central_E_Caribe,1082.0,1478.0230386764972,-396.0230386764972
2024-05-01,America_Central_E_Caribe,1155.0,1374.9106773986352,-219.91067739863524
2024-06-01,America_Central_E_Caribe,1293.0,1348.8492656461415,-55.849265646141475
2024-07-01,America_Central_E_Caribe,1038.0,1380.7951684434972,-342.79516844349723
2024-08-01,America_Central_E_Caribe,1337.0,1435.4145200315568,-98.41452003155678
2024-09-01,America_Central_E_Caribe,2115.0,1522.066792138689,592.9332078613111
2024-10-01,America_Central_E_Caribe,1590.0,1431.655682791813,158.34431720818702
2024-11-01,America_Central_E_Caribe,2002.0,1508.706836829639,493.2931631703609
2024-12-01,America_Central_E_Caribe,1908.0,1406.7504961776717,501.2495038223283
2024-01-01,America_Do_Norte,17392.0,18288.02628290283,-896.0262829028288
2024-02-01,America_Do_Norte,23972.0,18734.849541299664,5237.1504587003365
2024-03-01,America_Do_Norte,24138.0,18551.77999815625,5586.220001843751
2024-04-01,America_Do_Norte,13860.0,15895.157032732983,-2035.1570327329828
2024-05-01,America_Do_Norte,13905.0,14549.48726559105,-644.4872655910494
2024-06-01,America_Do_Norte,13955.0,15073.488793658651,-1118.488793658651
2024-07-01,America_Do_Norte,14335.0,15265.328480256403,-930.328480256403
2024-08-01,America_Do_Norte,14356.0,15760.457311116968,-1404.4573111169684
2024-09-01,America_Do_Norte,16133.0,14883.357084139148,1249.6429158608516
2024-10-01,America_Do_Norte,15468.0,14829.187481829007,638.8125181709929
2024-11-01,America_Do_Norte,23062.0,16070.20377017528,6991.79622982472
2024-12-01,America_Do_Norte,29679.0,19434.94510731749,10244.05489268251
2024-01-01,America_Do_Sul,113242.0,82758.26561216492,30483.73438783508
2024-02-01,America_Do_Sul,95566.0,77904.03785460124,17661.962145398764
2024-03-01,America_Do_Sul,88312.0,74797.600768185,13514.399231814998
2024-04-01,America_Do_Sul,54861.0,59234.60799600717,-4373.607996007173
2024-05-01,America_Do_Sul,45903.0,50369.0194704007,-4466.019470400701
2024-06-01,America_Do_Sul,48792.0,48083.45314724193,708.546852758067
2024-07-01,America_Do_Sul,62593.0,52638.14279779133,9954.857202208666
2024-08-01,America_Do_Sul,48059.0,46221.25156563848,1837.7484343615215
2024-09-01,America_Do_Sul,71341.0,47510.72235395401,23830.277646045994
2024-10-01,America_Do_Sul,81603.0,49642.89488642651,31960.10511357349
2024-11-01,America_Do_Sul,78739.0,51261.70386387853,27477.29613612147
2024-12-01,America_Do_Sul,99840.0,62243.60793734554,37596.39206265446
2024-01-01,Asia,1612.0,2209.219090826138,-597.2190908261382
2024-02-01,Asia,4161.0,2540.894807282934,1620.105192717066
2024-03-01,Asia,2498.0,2345.734166744992,152.26583325500815
2024-04-01,Asia,2476.0,2537.4765865794698,-61.47658657946977
2024-05-01,Asia,2613.0,2349.0925176266246,263.9074823733754
2024-06-01,Asia,1957.0,2534.177056905236,-577.177056905236
2024-07-01,Asia,2072.0,2352.3342563415085,-280.33425634150854
2024-08-01,Asia,2162.0,2530.9920969463556,-368.99209694635556
2024-09-01,Asia,2845.0,2355.463432019086,489.5365679809138
2024-10-01,Asia,2604.0,2527.917728493516,76.08227150648418
2024-11-01,Asia,5250.0,2358.4839531906982,2891.5160468093018
2024-12-01,Asia,2651.0,2524.9501114729433,126.04988852705674
2024-01-01,Europa,28460.0,27499.634073994166,960.3659260058339
2024-02-01,Europa,43208.0,32110.567512371705,11097.432487628295
2024-03-01,Europa,39531.0,30825.47942031636,8705.520579683642
2024-04-01,Europa,28563.0,25458.1315420162,3104.868457983801
2024-05-01,Europa,19597.0,18640.58088919792,956.4191108020786
2024-06-01,Europa,15600.0,18327.58359439792,-2727.583594397918
2024-07-01,Europa,27062.0,22730.713581662036,4331.286418337964
2024-08-01,Europa,24719.0,23169.152376806862,1549.8476231931381
2024-09-01,Europa,22025.0,20193.244306476055,1831.7556935239445
2024-10-01,Europa,28376.0,23788.498337943503,4587.501662056497
2024-11-01,Europa,34420.0,26260.66731355262,8159.332686447378
2024-12-01,Europa,39981.0,30726.04282487471,9254.957175125292
2024-01-01,Oceania,1677.0,-117091.7066958125,118768.7066958125
2024-02-01,Oceania,2109.0,-117680.00540870066,119789.00540870066
2024-03-01,Oceania,1565.0,-118244.07886009006,119809.07886009006
2024-04-01,Oceania,928.0,-118761.41030935607,119689.41030935607
2024-05-01,Oceania,546.0,-119233.45863903071,119779.45863903071
2024-06-01,Oceania,580.0,-119673.41023808742,120253.41023808742
2024-07-01,Oceania,730.0,-120089.39955528818,120819.39955528818
2024-08-01,Oceania,611.0,-120477.51235468585,121088.51235468585
2024-09-01,Oceania,1242.0,-120829.17791056726,122071.17791056726
2024-10-01,Oceania,1002.0,-121147.84007967707,122149.84007967707
2024-11-01,Oceania,1129.0,-121453.78061698703,122582.78061698703
2024-12-01,Oceania,1623.0,-121768.30061448757,123391.30061448757
