date,continent,actual,forecast,error,abs_error,pct_error
2000-01-01,TOTAL,91318.0,0.0,91318.0,91318.0,100.0
2000-02-01,TOTAL,80424.0,86345.92279717787,-5921.922797177875,5921.922797177875,-7.363377595217689
2000-03-01,TOTAL,75716.0,79209.33828591164,-3493.338285911639,3493.338285911639,-4.613738557123513
2000-04-01,TOTAL,62957.0,75853.39017251055,-12896.390172510553,12896.390172510553,-20.484442035850744
2000-05-01,TOTAL,53855.0,67094.66589865403,-13239.665898654028,13239.665898654028,-24.583912169072562
2000-06-01,TOTAL,52278.0,59680.26183867738,-7402.261838677383,7402.261838677383,-14.159420480273505
2000-07-01,TOTAL,67061.0,57399.3787577122,9661.621242287802,9661.621242287802,14.407213197369263
2000-08-01,TOTAL,64874.0,65971.1989559149,-1097.1989559148933,1097.1989559148933,-1.691276868876427
2000-09-01,TOTAL,59626.0,64301.387959146305,-4675.387959146305,4675.387959146305,-7.841190016345729
2000-10-01,TOTAL,66774.0,60548.125052110525,6225.874947889475,6225.874947889475,9.323801102059896
2000-11-01,TOTAL,68772.0,65977.27764657624,2794.7223534237564,2794.7223534237564,4.063750295794446
2000-12-01,TOTAL,68817.0,68356.56809792649,460.4319020735129,460.4319020735129,0.6690670939935087
2001-01-01,TOTAL,114615.0,70301.93651644152,44313.06348355848,44313.06348355848,38.66253412167559
2001-02-01,TOTAL,107891.0,96253.42594995948,11637.574050040523,11637.574050040523,10.786417819874245
2001-03-01,TOTAL,100995.0,95100.04346802138,5894.95653197862,5894.95653197862,5.836879580156067
2001-04-01,TOTAL,84549.0,88800.27587900475,-4251.275879004752,4251.275879004752,-5.028179965469434
2001-05-01,TOTAL,61234.0,80079.07906280663,-18845.07906280663,18845.07906280663,-30.775515339201476
2001-06-01,TOTAL,59574.0,65962.79127967986,-6388.791279679863,6388.791279679863,-10.724126766172933
2001-07-01,TOTAL,78543.0,68368.2421786579,10174.757821342093,10174.757821342093,12.954378902438274
2001-08-01,TOTAL,73986.0,76232.70150955624,-2246.7015095562383,2246.7015095562383,-3.0366576238156386
2001-09-01,TOTAL,56266.0,71345.02260183361,-15079.02260183361,15079.02260183361,-26.799528315205652
2001-10-01,TOTAL,58872.0,62204.368984365916,-3332.368984365916,3332.368984365916,-5.660363134199477
2001-11-01,TOTAL,60806.0,62750.547233794736,-1944.5472337947358,1944.5472337947358,-3.197952889179909
2001-12-01,TOTAL,66807.0,63314.65318417786,3492.3468158221367,3492.3468158221367,5.227516301917668
2002-01-01,TOTAL,73318.0,80717.22952449322,-7399.2295244932175,7399.2295244932175,-10.091968581375948
2002-02-01,TOTAL,66973.0,70971.04482675834,-3998.0448267583415,3998.0448267583415,-5.969636759228856
2002-03-01,TOTAL,61748.0,66139.2319434307,-4391.231943430699,4391.231943430699,-7.111537124167097
2002-04-01,TOTAL,47035.0,57503.93469119023,-10468.934691190232,10468.934691190232,-22.257754206846457
2002-05-01,TOTAL,49495.0,43896.41693086993,5598.5830691300725,5598.5830691300725,11.311411393332808
2002-06-01,TOTAL,55748.0,48854.5803983966,6893.419601603397,6893.419601603397,12.365321808142706
2002-07-01,TOTAL,70877.0,61153.898353014956,9723.101646985044,9723.101646985044,13.718274823969756
2002-08-01,TOTAL,68161.0,64569.59364885031,3591.4063511496934,3591.4063511496934,5.269004784480412
2002-09-01,TOTAL,57979.0,59490.57501838748,-1511.575018387477,1511.575018387477,-2.6071077776220304
2002-10-01,TOTAL,56317.0,59099.17496707302,-2782.1749670730205,2782.1749670730205,-4.940204497883446
2002-11-01,TOTAL,57712.0,58012.442488931374,-300.4424889313741,300.4424889313741,-0.5205892863379784
2002-12-01,TOTAL,70129.0,59967.45801495629,10161.54198504371,10161.54198504371,14.489785944536084
2003-01-01,TOTAL,76971.0,79271.77047876787,-2300.7704787678667,2300.7704787678667,-2.9891393885591544
2003-02-01,TOTAL,70003.0,71614.76854852567,-1611.7685485256661,1611.7685485256661,-2.302427822415705
2003-03-01,TOTAL,67437.0,66687.46250722914,749.5374927708617,749.5374927708617,1.1114632809449734
2003-04-01,TOTAL,57416.0,59321.71834775782,-1905.718347757822,1905.718347757822,-3.3191416116723946
2003-05-01,TOTAL,44763.0,52534.16625104427,-7771.166251044269,7771.166251044269,-17.360691309885997
2003-06-01,TOTAL,43701.0,47976.501611285086,-4275.501611285086,4275.501611285086,-9.783532668097038
2003-07-01,TOTAL,52658.0,55198.17738636789,-2540.17738636789,2540.17738636789,-4.823915428553857
2003-08-01,TOTAL,55955.0,53008.952122777846,2946.047877222154,2946.047877222154,5.26503060892173
2003-09-01,TOTAL,50309.0,49669.72635646761,639.2736435323895,639.2736435323895,1.270694395699357
2003-10-01,TOTAL,52607.0,51249.15650491042,1357.8434950895826,1357.8434950895826,2.581108018114666
2003-11-01,TOTAL,52471.0,52931.528761061665,-460.52876106166514,460.52876106166514,-0.8776824551879422
2003-12-01,TOTAL,69383.0,56175.19943095035,13207.80056904965,13207.80056904965,19.036075939422698
2004-01-01,TOTAL,88969.0,75882.02450600885,13086.97549399115,13086.97549399115,14.709590412380885
2004-02-01,TOTAL,86045.0,77961.21918131383,8083.780818686166,8083.780818686166,9.39482923898677
2004-03-01,TOTAL,76117.0,77159.50582564277,-1042.5058256427728,1042.5058256427728,-1.3696097135236187
2004-04-01,TOTAL,67457.0,65620.37540193174,1836.624598068258,1836.624598068258,2.7226597655814193
2004-05-01,TOTAL,48664.0,59501.280309477064,-10837.280309477064,10837.280309477064,-22.26960444985423
2004-06-01,TOTAL,47301.0,51877.883574877334,-4576.8835748773345,4576.8835748773345,-9.676082059316577
2004-07-01,TOTAL,58762.0,58536.31559664743,225.68440335257037,225.68440335257037,0.38406521791731113
2004-08-01,TOTAL,62802.0,59186.936759967524,3615.0632400324757,3615.0632400324757,5.756286806204382
2004-09-01,TOTAL,56422.0,55923.37122413888,498.62877586112154,498.62877586112154,0.883748849493321
2004-10-01,TOTAL,60496.0,56941.28482026573,3554.7151797342667,3554.7151797342667,5.875950773165608
2004-11-01,TOTAL,58851.0,59555.503437555184,-704.5034375551841,704.5034375551841,-1.197096799638382
2004-12-01,TOTAL,85890.0,64160.3491948113,21729.6508051887,21729.6508051887,25.299395511920714
2005-01-01,TOTAL,105732.0,90287.95319947781,15444.046800522192,15444.046800522192,14.606785836380842
2005-02-01,TOTAL,91165.0,92812.11320664377,-1647.1132066437713,1647.1132066437713,-1.8067385582666278
2005-03-01,TOTAL,79298.0,83049.6403694956,-3751.640369495595,3751.640369495595,-4.731065562177602
2005-04-01,TOTAL,59718.0,70854.37308769912,-11136.373087699118,11136.373087699118,-18.648268675607216
2005-05-01,TOTAL,57254.0,55223.16733035714,2030.832669642863,2030.832669642863,3.547058143785348
2005-06-01,TOTAL,56667.0,58076.55971382714,-1409.5597138271405,1409.5597138271405,-2.487443686496798
2005-07-01,TOTAL,83108.0,66019.94068482077,17088.059315179227,17088.059315179227,20.561268849183264
2005-08-01,TOTAL,60832.0,77103.42220770204,-16271.422207702039,16271.422207702039,-26.748129615501774
2005-09-01,TOTAL,53960.0,57387.64628825978,-3427.646288259777,3427.646288259777,-6.352198458598549
2005-10-01,TOTAL,68175.0,57501.75409664317,10673.24590335683,10673.24590335683,15.655659557545773
2005-11-01,TOTAL,66984.0,66522.75555370242,461.24444629758364,461.24444629758364,0.688588985873617
2005-12-01,TOTAL,82707.0,74103.56543667268,8603.434563327319,8603.434563327319,10.402305201890188
2006-01-01,TOTAL,109025.0,91278.69535857606,17746.304641423936,17746.304641423936,16.277280111372562
2006-02-01,TOTAL,98499.0,95741.95621243336,2757.0437875666394,2757.0437875666394,2.79905764278484
2006-03-01,TOTAL,81265.0,88551.58855716717,-7286.588557167168,7286.588557167168,-8.966453648147626
2006-04-01,TOTAL,64811.0,71573.7195133928,-6762.7195133928035,6762.7195133928035,-10.434524252662053
2006-05-01,TOTAL,53855.0,60096.03830622631,-6241.038306226314,6241.038306226314,-11.588595870812949
2006-06-01,TOTAL,51338.0,56811.29182033301,-5473.291820333012,5473.291820333012,-10.661287584894254
2006-07-01,TOTAL,53730.0,65209.42336863942,-11479.423368639422,11479.423368639422,-21.365016505936016
2006-08-01,TOTAL,47428.0,55048.067605292206,-7620.067605292206,7620.067605292206,-16.066601175027845
2006-09-01,TOTAL,46483.0,46076.89928686115,406.1007131388469,406.1007131388469,0.8736542674501364
2006-10-01,TOTAL,52905.0,51875.89326647489,1029.1067335251064,1029.1067335251064,1.945197492723006
2006-11-01,TOTAL,61906.0,53149.23770728968,8756.762292710322,8756.762292710322,14.145256183100704
2006-12-01,TOTAL,72635.0,68473.09920298989,4161.900797010108,4161.900797010108,5.729883385434169
2007-01-01,TOTAL,93770.0,84041.7348466194,9728.265153380606,9728.265153380606,10.374602914984116
2007-02-01,TOTAL,84175.0,82865.54061271422,1309.4593872857804,1309.4593872857804,1.555639307734815
2007-03-01,TOTAL,68420.0,75034.5279207854,-6614.527920785404,6614.527920785404,-9.667535692466243
2007-04-01,TOTAL,62934.0,59066.29221544285,3867.7077845571475,3867.7077845571475,6.145657012993211
2007-05-01,TOTAL,48396.0,54830.75939366837,-6434.75939366837,6434.75939366837,-13.296056272560481
2007-06-01,TOTAL,51953.0,49703.56152612982,2249.4384738701774,2249.4384738701774,4.329756652878905
2007-07-01,TOTAL,67885.0,61127.20650202935,6757.793497970648,6757.793497970648,9.954766882184058
2007-08-01,TOTAL,62353.0,61953.97632664459,399.02367335541203,399.02367335541203,0.639943023359601
2007-09-01,TOTAL,55140.0,55850.39755333401,-710.3975533340126,710.3975533340126,-1.288352472495489
2007-10-01,TOTAL,54949.0,58326.18470683352,-3377.184706833519,3377.184706833519,-6.14603488113254
2007-11-01,TOTAL,55783.0,57183.87721809732,-1400.8772180973174,1400.8772180973174,-2.51129773962913
2007-12-01,TOTAL,68579.0,66067.92987511195,2511.0701248880505,2511.0701248880505,3.661572966779992
2008-01-01,TOTAL,93335.0,82838.1655955924,10496.834404407593,10496.834404407593,11.246407461732034
