date,continent,actual,forecast,error
2024-01-01,TOTAL,163598.0,123556.82265305027,40041.17734694973
2024-02-01,TOTAL,170305.0,122984.16291076408,47320.83708923592
2024-03-01,TOTAL,157683.0,109541.5272532024,48141.472746797604
2024-04-01,TOTAL,102172.0,83833.55454912415,18338.44545087585
2024-05-01,TOTAL,84116.0,77021.67017289798,7094.329827102018
2024-06-01,TOTAL,82402.0,78387.42060383443,4014.5793961655727
2024-07-01,TOTAL,108089.0,88322.14547071737,19766.85452928263
2024-08-01,TOTAL,91504.0,84738.87393506376,6765.1260649362375
2024-09-01,TOTAL,116003.0,79048.7291371282,36954.270862871796
2024-10-01,TOTAL,130985.0,86033.48073321176,44951.51926678824
2024-11-01,TOTAL,145148.0,91475.55528926775,53672.44471073225
2024-12-01,TOTAL,176121.0,111757.3496798267,64363.6503201733
2024-01-01,Africa,303.0,296.8810521927371,6.1189478072628845
2024-02-01,Africa,446.0,258.8175109302639,187.1824890697361
2024-03-01,Africa,337.0,277.85032954453106,59.149670455468936
2024-04-01,Africa,402.0,256.04746899219066,145.95253100780934
2024-05-01,Africa,397.0,280.30367110319645,116.69632889680355
2024-06-01,Africa,225.0,245.66035904354197,-20.660359043541973
2024-07-01,Africa,259.0,259.15854230271975,-0.15854230271975212
2024-08-01,Africa,260.0,255.8110903215575,4.1889096784425135
2024-09-01,Africa,302.0,278.82783174985934,23.172168250140658
2024-10-01,Africa,342.0,255.73392542130426,86.26607457869574
2024-11-01,Africa,546.0,284.76145756250133,261.23854243749867
2024-12-01,Africa,439.0,299.63262385997865,139.36737614002135
2024-01-01,America_Central_E_Caribe,912.0,1340.0073612201727,-428.0073612201727
2024-02-01,America_Central_E_Caribe,843.0,1405.0172911139953,-562.0172911139953
2024-03-01,America_Central_E_Caribe,1302.0,1452.6090596690797,-150.60905966907967
2024-04-01,America_Central_E_Caribe,1082.0,1447.998244834803,-365.998244834803
2024-05-01,America_Central_E_Caribe,1155.0,1365.8317911940765,-210.83179119407646
2024-06-01,America_Central_E_Caribe,1293.0,1341.9738366066085,-48.97383660660853
2024-07-01,America_Central_E_Caribe,1038.0,1362.7566598111453,-324.75665981114525
2024-08-01,America_Central_E_Caribe,1337.0,1405.5668858950853,-68.5668858950853
2024-09-01,America_Central_E_Caribe,2115.0,1470.4525034816027,644.5474965183973
2024-10-01,America_Central_E_Caribe,1590.0,1396.3909027733846,193.6090972266154
2024-11-01,America_Central_E_Caribe,2002.0,1454.9267032791354,547.0732967208646
2024-12-01,America_Central_E_Caribe,1908.0,1371.6653918426696,536.3346081573304
2024-01-01,America_Do_Norte,17392.0,15934.690394979405,1457.309605020595
2024-02-01,America_Do_Norte,23972.0,16415.753412644077,7556.246587355923
2024-03-01,America_Do_Norte,24138.0,15563.267620917177,8574.732379082823
2024-04-01,America_Do_Norte,13860.0,12276.61673003937,1583.38326996063
2024-05-01,America_Do_Norte,13905.0,12694.44203730359,1210.55796269641
2024-06-01,America_Do_Norte,13955.0,13704.19412456635,250.80587543365073
2024-07-01,America_Do_Norte,14335.0,13588.775054481399,746.2249455186011
2024-08-01,America_Do_Norte,14356.0,14061.043854783831,294.9561452161688
2024-09-01,America_Do_Norte,16133.0,12216.652340509878,3916.347659490122
2024-10-01,America_Do_Norte,15468.0,12205.135447321172,3262.8645526788277
2024-11-01,America_Do_Norte,23062.0,13408.56195722186,9653.43804277814
2024-12-01,America_Do_Norte,29679.0,17202.80981478593,12476.190185214069
2024-01-01,America_Do_Sul,113242.0,76476.65167185629,36765.34832814371
2024-02-01,America_Do_Sul,95566.0,65880.11807931404,29685.881920685963
2024-03-01,America_Do_Sul,88312.0,55476.01149062204,32835.98850937796
2024-04-01,America_Do_Sul,54861.0,36672.85272680146,18188.14727319854
2024-05-01,America_Do_Sul,45903.0,31629.717022385288,14273.282977614712
2024-06-01,America_Do_Sul,48792.0,27644.75137269197,21147.24862730803
2024-07-01,America_Do_Sul,62593.0,31245.40289608846,31347.59710391154
2024-08-01,America_Do_Sul,48059.0,23918.213030982923,24140.786969017077
2024-09-01,America_Do_Sul,71341.0,24428.25207357527,46912.74792642473
2024-10-01,America_Do_Sul,81603.0,25276.703292455422,56326.29670754458
2024-11-01,America_Do_Sul,78739.0,25744.281589954488,52994.71841004551
2024-12-01,America_Do_Sul,99840.0,34895.893952896164,64944.106047103836
2024-01-01,Asia,1612.0,1692.10211289146,-80.10211289145991
2024-02-01,Asia,4161.0,2044.4384097868246,2116.5615902131754
2024-03-01,Asia,2498.0,1553.8923469324798,944.1076530675202
2024-04-01,Asia,2476.0,1253.8456145548996,1222.1543854451004
2024-05-01,Asia,2613.0,1269.0141848145252,1343.9858151854748
2024-06-01,Asia,1957.0,1342.3958671846956,614.6041328153044
2024-07-01,Asia,2072.0,1441.3863317086266,630.6136682913734
2024-08-01,Asia,2162.0,1611.3242010798901,550.6757989201099
2024-09-01,Asia,2845.0,1367.6723389912968,1477.3276610087032
