date,continent,actual,forecast,error
2024-01-01,Oceania,1677.0,1137.1903010906976,539.8096989093024
2024-02-01,Oceania,2109.0,1484.8398554232317,624.1601445767683
2024-03-01,Oceania,1565.0,1118.7919845309448,446.2080154690552
2024-04-01,Oceania,928.0,970.5740638772697,-42.57406387726974
2024-05-01,Oceania,546.0,914.0422075965021,-368.04220759650207
2024-06-01,Oceania,580.0,1071.7028332736593,-491.7028332736593
2024-07-01,Oceania,730.0,1019.9844222726491,-289.9844222726491
2024-08-01,Oceania,611.0,1075.2824878970187,-464.28248789701865
2024-09-01,Oceania,1242.0,1008.5120949208819,233.48790507911815
2024-10-01,Oceania,1002.0,995.1140526097474,6.885947390252568
2024-11-01,Oceania,1129.0,937.9245382594717,191.07546174052834
2024-12-01,Oceania,1623.0,1163.438218363263,459.5617816367369
