date,continent,actual,forecast
2002-01-01,America_Central_E_Caribe,454.0,471.20175
2002-02-01,America_Central_E_Caribe,527.0,486.3313
2002-03-01,America_Central_E_Caribe,335.0,443.68985
2002-04-01,America_Central_E_Caribe,249.0,324.4345
2002-05-01,America_Central_E_Caribe,264.0,298.1205
2002-06-01,America_Central_E_Caribe,293.0,370.58557
2002-07-01,America_Central_E_Caribe,375.0,361.92676
2002-08-01,America_Central_E_Caribe,359.0,367.92758
2002-09-01,America_Central_E_Caribe,305.0,337.50565
2002-10-01,America_Central_E_Caribe,299.0,341.5115
2002-11-01,America_Central_E_Caribe,306.0,355.0819
2002-12-01,America_Central_E_Caribe,389.0,408.35303
2003-01-01,America_Central_E_Caribe,480.0,462.26923
2003-02-01,America_Central_E_Caribe,488.0,468.97214
2003-03-01,America_Central_E_Caribe,470.0,447.70047
2003-04-01,America_Central_E_Caribe,412.0,453.3045
2003-05-01,America_Central_E_Caribe,566.0,495.70996
2003-06-01,America_Central_E_Caribe,386.0,476.53046
2003-07-01,America_Central_E_Caribe,404.0,480.11395
2003-08-01,America_Central_E_Caribe,650.0,600.39026
2003-09-01,America_Central_E_Caribe,635.0,597.1334
2003-10-01,America_Central_E_Caribe,588.0,628.2113
2003-11-01,America_Central_E_Caribe,955.0,811.3276
2003-12-01,America_Central_E_Caribe,538.0,609.19604
2004-01-01,America_Central_E_Caribe,1059.0,824.46796
2004-02-01,America_Central_E_Caribe,690.0,678.5466
2004-03-01,America_Central_E_Caribe,644.0,669.91516
2004-04-01,America_Central_E_Caribe,550.0,629.8288
2004-05-01,America_Central_E_Caribe,923.0,767.8659
2004-06-01,America_Central_E_Caribe,534.0,647.3557
2004-07-01,America_Central_E_Caribe,571.0,716.1567
2004-08-01,America_Central_E_Caribe,552.0,618.0494
2004-09-01,America_Central_E_Caribe,640.0,708.4428
2004-10-01,America_Central_E_Caribe,700.0,735.1905
2004-11-01,America_Central_E_Caribe,1283.0,1091.8171
2004-12-01,America_Central_E_Caribe,777.0,770.8465
2005-01-01,America_Central_E_Caribe,1153.0,953.0069
2005-02-01,America_Central_E_Caribe,692.0,812.7057
2005-03-01,America_Central_E_Caribe,625.0,587.98865
2005-04-01,America_Central_E_Caribe,444.0,507.13898
2005-05-01,America_Central_E_Caribe,949.0,851.9059
2005-06-01,America_Central_E_Caribe,595.0,783.117
2005-07-01,America_Central_E_Caribe,741.0,736.5937
2005-08-01,America_Central_E_Caribe,559.0,570.0662
2005-09-01,America_Central_E_Caribe,610.0,598.6016
2005-10-01,America_Central_E_Caribe,775.0,818.31335
