date,continent,actual,forecast
2002-01-01,TOTAL,73318.0,79952.92
2002-02-01,TOTAL,66973.0,77671.92
2002-03-01,TOTAL,61748.0,75710.47
2002-04-01,TOTAL,47035.0,54464.22
2002-05-01,TOTAL,49495.0,47087.81
2002-06-01,TOTAL,55748.0,48328.242
2002-07-01,TOTAL,70877.0,62640.637
2002-08-01,TOTAL,68161.0,67975.24
2002-09-01,TOTAL,57979.0,62060.086
2002-10-01,TOTAL,56317.0,61633.168
2002-11-01,TOTAL,57712.0,63700.152
2002-12-01,TOTAL,70129.0,70058.56
2003-01-01,TOTAL,76971.0,76202.45
2003-02-01,TOTAL,70003.0,73356.66
2003-03-01,TOTAL,67437.0,72370.3
2003-04-01,TOTAL,57416.0,56319.36
2003-05-01,TOTAL,44763.0,49181.95
2003-06-01,TOTAL,43701.0,47098.44
2003-07-01,TOTAL,52658.0,53125.824
2003-08-01,TOTAL,55955.0,59667.406
2003-09-01,TOTAL,50309.0,54808.246
2003-10-01,TOTAL,52607.0,55850.46
2003-11-01,TOTAL,52471.0,57303.156
2003-12-01,TOTAL,69383.0,67043.46
2004-01-01,TOTAL,88969.0,76529.83
2004-02-01,TOTAL,86045.0,81464.91
2004-03-01,TOTAL,76117.0,79830.83
2004-04-01,TOTAL,67457.0,65266.48
2004-05-01,TOTAL,48664.0,59526.574
2004-06-01,TOTAL,47301.0,49120.625
2004-07-01,TOTAL,58762.0,55988.04
2004-08-01,TOTAL,62802.0,57086.664
2004-09-01,TOTAL,56422.0,57221.97
2004-10-01,TOTAL,60496.0,59376.883
2004-11-01,TOTAL,58851.0,70332.195
2004-12-01,TOTAL,85890.0,73451.19
2005-01-01,TOTAL,105732.0,93602.76
2005-02-01,TOTAL,91165.0,90962.63
2005-03-01,TOTAL,79298.0,87365.086
2005-04-01,TOTAL,59718.0,70745.55
2005-05-01,TOTAL,57254.0,54544.98
2005-06-01,TOTAL,56667.0,53487.758
2005-07-01,TOTAL,83108.0,63794.21
2005-08-01,TOTAL,60832.0,70227.3
2005-09-01,TOTAL,53960.0,58039.414
2005-10-01,TOTAL,68175.0,61554.05
2005-11-01,TOTAL,66984.0,71261.32
2005-12-01,TOTAL,82707.0,81212.02
2006-01-01,TOTAL,109025.0,90366.75
2006-02-01,TOTAL,98499.0,105514.15
2006-03-01,TOTAL,81265.0,86444.1
2006-04-01,TOTAL,64811.0,63912.28
2006-05-01,TOTAL,53855.0,56961.52
2006-06-01,TOTAL,51338.0,50576.33
2006-07-01,TOTAL,53730.0,64995.844
2006-08-01,TOTAL,47428.0,55342.527
2006-09-01,TOTAL,46483.0,51523.766
2006-10-01,TOTAL,52905.0,52780.12
2006-11-01,TOTAL,61906.0,61973.99
2006-12-01,TOTAL,72635.0,72776.914
2007-01-01,TOTAL,93770.0,83714.68
2007-02-01,TOTAL,84175.0,94652.8
2007-03-01,TOTAL,68420.0,76907.89
2007-04-01,TOTAL,62934.0,58998.906
2007-05-01,TOTAL,48396.0,52313.156
2007-06-01,TOTAL,51953.0,50302.188
2007-07-01,TOTAL,67885.0,57380.72
2007-08-01,TOTAL,62353.0,62852.285
2007-09-01,TOTAL,55140.0,56204.832
2007-10-01,TOTAL,54949.0,60040.484
2007-11-01,TOTAL,55783.0,60429.094
2007-12-01,TOTAL,68579.0,70898.56
2008-01-01,TOTAL,93335.0,82426.625
2008-02-01,TOTAL,87134.0,89811.03
2008-03-01,TOTAL,88747.0,84049.8
2008-04-01,TOTAL,55426.0,65954.48
2008-05-01,TOTAL,48925.0,52906.723
2008-06-01,TOTAL,48328.0,49727.0
2008-07-01,TOTAL,60618.0,58052.5
2008-08-01,TOTAL,60773.0,58060.81
2008-09-01,TOTAL,53170.0,56857.51
2008-10-01,TOTAL,51225.0,56874.082
2008-11-01,TOTAL,52487.0,57835.523
2008-12-01,TOTAL,65825.0,65467.824
2009-01-01,TOTAL,104561.0,90202.03
2009-02-01,TOTAL,91448.0,88648.586
2009-03-01,TOTAL,104937.0,96474.78
2009-04-01,TOTAL,75300.0,81311.56
2009-05-01,TOTAL,59395.0,64402.566
2009-06-01,TOTAL,54564.0,56033.723
2009-07-01,TOTAL,59949.0,61399.938
2009-08-01,TOTAL,72893.0,61288.418
2009-09-01,TOTAL,60702.0,64611.465
2009-10-01,TOTAL,68274.0,64483.215
2009-11-01,TOTAL,79353.0,78329.36
2009-12-01,TOTAL,77242.0,83929.26
2010-01-01,TOTAL,96660.0,93150.375
2010-02-01,TOTAL,109875.0,99892.195
2010-03-01,TOTAL,115466.0,108516.305
2010-04-01,TOTAL,69266.0,75869.99
2010-05-01,TOTAL,56915.0,58946.797
2010-06-01,TOTAL,55296.0,53988.234
2010-07-01,TOTAL,69000.0,64652.934
2010-08-01,TOTAL,76722.0,72271.76
2010-09-01,TOTAL,69072.0,71178.59
2010-10-01,TOTAL,77160.0,76559.21
2010-11-01,TOTAL,78191.0,82870.38
2010-12-01,TOTAL,108872.0,98686.305
2011-01-01,TOTAL,100232.0,105530.945
2011-02-01,TOTAL,113131.0,114842.195
2011-03-01,TOTAL,114213.0,116339.11
2011-04-01,TOTAL,82379.0,81724.7
2011-05-01,TOTAL,64714.0,64771.44
2011-06-01,TOTAL,59397.0,61909.7
2011-07-01,TOTAL,74229.0,67603.5
2011-08-01,TOTAL,70459.0,73604.195
2011-09-01,TOTAL,66987.0,73597.1
2011-10-01,TOTAL,82986.0,76897.91
2011-11-01,TOTAL,97944.0,86070.05
2011-12-01,TOTAL,118215.0,118705.23
2012-01-01,TOTAL,107029.0,117775.586
2012-02-01,TOTAL,121752.0,122097.4
2012-03-01,TOTAL,129423.0,124687.445
2012-04-01,TOTAL,89024.0,82725.78
2012-05-01,TOTAL,68083.0,73643.96
2012-06-01,TOTAL,81695.0,74241.34
2012-07-01,TOTAL,83771.0,83791.18
2012-08-01,TOTAL,79726.0,79831.26
2012-09-01,TOTAL,78489.0,78571.02
2012-10-01,TOTAL,92630.0,87700.99
2012-11-01,TOTAL,101249.0,105420.07
2012-12-01,TOTAL,131270.0,125964.84
2013-01-01,TOTAL,114051.0,124524.51
2013-02-01,TOTAL,127967.0,125808.234
2013-03-01,TOTAL,142637.0,130629.37
2013-04-01,TOTAL,90985.0,101538.3
2013-05-01,TOTAL,75123.0,73900.67
2013-06-01,TOTAL,73897.0,81733.625
2013-07-01,TOTAL,121463.0,103797.64
2013-08-01,TOTAL,88722.0,105470.4
2013-09-01,TOTAL,54988.0,75282.445
2013-10-01,TOTAL,97400.0,90621.26
2013-11-01,TOTAL,99228.0,102270.73
2013-12-01,TOTAL,121313.0,122701.08
2014-01-01,TOTAL,129520.0,136369.67
2014-02-01,TOTAL,147385.0,139519.11
2014-03-01,TOTAL,90796.0,114032.13
2014-04-01,TOTAL,96507.0,89105.93
2014-05-01,TOTAL,88701.0,90822.734
