date,continent,actual,forecast,error,abs_error,pct_error
2000-01-01,TOTAL,91318.0,0.0,91318.0,91318.0,100.0
2000-02-01,TOTAL,80424.0,67263.74440410409,13160.255595895913,13160.255595895913,16.363592454859138
2000-03-01,TOTAL,75716.0,59120.48051734232,16595.519482657677,16595.519482657677,21.918114378278933
2000-04-01,TOTAL,62957.0,66820.67100116798,-3863.6710011679825,3863.6710011679825,-6.1369998589004915
2000-05-01,TOTAL,53855.0,60924.506336878905,-7069.506336878905,7069.506336878905,-13.126926630542949
2000-06-01,TOTAL,52278.0,57585.19250572278,-5307.192505722778,5307.192505722778,-10.151865996638696
2000-07-01,TOTAL,67061.0,56047.03799668647,11013.962003313529,11013.962003313529,16.42379625015065
2000-08-01,TOTAL,64874.0,63683.88624143637,1190.1137585636316,1190.1137585636316,1.8345003523193137
2000-09-01,TOTAL,59626.0,61889.284017800535,-2263.2840178005354,2263.2840178005354,-3.7958005195728965
2000-10-01,TOTAL,66774.0,60300.98672116276,6473.013278837243,6473.013278837243,9.693912718778632
2000-11-01,TOTAL,68772.0,73565.38169572044,-4793.38169572044,4793.38169572044,-6.969961169837201
2000-12-01,TOTAL,68817.0,83844.4747072934,-15027.474707293397,15027.474707293397,-21.836864012225753
2001-01-01,TOTAL,114615.0,121331.59526290506,-6716.595262905059,6716.595262905059,-5.86013633722031
2001-02-01,TOTAL,107891.0,114431.97095667115,-6540.9709566711535,6540.9709566711535,-6.062573297746016
2001-03-01,TOTAL,100995.0,109572.39047893223,-8577.390478932226,8577.390478932226,-8.492886260638869
2001-04-01,TOTAL,84549.0,99441.22255969036,-14892.222559690359,14892.222559690359,-17.61371815123817
2001-05-01,TOTAL,61234.0,87987.67651749396,-26753.676517493965,26753.676517493965,-43.690884994437674
2001-06-01,TOTAL,59574.0,74912.05116221012,-15338.051162210118,15338.051162210118,-25.746216742555678
2001-07-01,TOTAL,78543.0,79559.61804602545,-1016.6180460254545,1016.6180460254545,-1.2943458309785143
2001-08-01,TOTAL,73986.0,81327.9290825528,-7341.9290825528005,7341.9290825528005,-9.923403187836618
2001-09-01,TOTAL,56266.0,74608.47649858879,-18342.47649858879,18342.47649858879,-32.5995743407898
2001-10-01,TOTAL,58872.0,69243.90218159705,-10371.902181597048,10371.902181597048,-17.61771671014582
2001-11-01,TOTAL,60806.0,72433.76011862718,-11627.760118627179,11627.760118627179,-19.122718347905103
2001-12-01,TOTAL,66807.0,74110.90214933737,-7303.902149337373,7303.902149337373,-10.9328395966551
2002-01-01,TOTAL,73318.0,118292.31220246633,-44974.31220246633,44974.31220246633,-61.34143348491003
2002-02-01,TOTAL,66973.0,87121.55830033668,-20148.558300336677,20148.558300336677,-30.084598719389422
2002-03-01,TOTAL,61748.0,81308.47947659163,-19560.47947659163,19560.47947659163,-31.67791584600575
2002-04-01,TOTAL,47035.0,64354.18879945185,-17319.188799451847,17319.188799451847,-36.8219172944655
2002-05-01,TOTAL,49495.0,47411.75742076094,2083.242579239057,2083.242579239057,4.208996018262566
2002-06-01,TOTAL,55748.0,51435.01758440314,4312.98241559686,4312.98241559686,7.736568873496556
2002-07-01,TOTAL,70877.0,65049.89893584032,5827.10106415968,5827.10106415968,8.221427351834418
2002-08-01,TOTAL,68161.0,65119.47074363489,3041.529256365109,3041.529256365109,4.462272056403382
2002-09-01,TOTAL,57979.0,57553.719685261894,425.2803147381055,425.2803147381055,0.733507502264795
2002-10-01,TOTAL,56317.0,60375.23325926559,-4058.2332592655875,4058.2332592655875,-7.20605369473798
2002-11-01,TOTAL,57712.0,61221.92705357753,-3509.9270535775286,3509.9270535775286,-6.081797639273511
2002-12-01,TOTAL,70129.0,64926.38776701616,5202.61223298384,5202.61223298384,7.418631711537081
2003-01-01,TOTAL,76971.0,103825.95144279907,-26854.951442799065,26854.951442799065,-34.889700592169866
2003-02-01,TOTAL,70003.0,80824.85332299698,-10821.853322996976,10821.853322996976,-15.459127927370222
2003-03-01,TOTAL,67437.0,76201.36704398786,-8764.367043987862,8764.367043987862,-12.996377424837794
2003-04-01,TOTAL,57416.0,62183.43480803888,-4767.434808038881,4767.434808038881,-8.303321039499236
2003-05-01,TOTAL,44763.0,54002.73720663418,-9239.737206634178,9239.737206634178,-20.641461042901902
2003-06-01,TOTAL,43701.0,50672.6483791387,-6971.6483791387,6971.6483791387,-15.953063726547906
2003-07-01,TOTAL,52658.0,61295.19182860838,-8637.191828608382,8637.191828608382,-16.402430454267883
2003-08-01,TOTAL,55955.0,55410.49912377669,544.5008762233119,544.5008762233119,0.9731049525928192
2003-09-01,TOTAL,50309.0,49065.120915908505,1243.8790840914953,1243.8790840914953,2.4724782525820337
2003-10-01,TOTAL,52607.0,51539.259047807056,1067.740952192944,1067.740952192944,2.0296556583590473
2003-11-01,TOTAL,52471.0,54380.19531253476,-1909.1953125347572,1909.1953125347572,-3.6385723781417494
2003-12-01,TOTAL,69383.0,59487.319334983105,9895.680665016895,9895.680665016895,14.262399528727347
2004-01-01,TOTAL,88969.0,93937.32437023033,-4968.32437023033,4968.32437023033,-5.58433203726054
2004-02-01,TOTAL,86045.0,82539.14424613125,3505.8557538687455,3505.8557538687455,4.074444481223482
2004-03-01,TOTAL,76117.0,81797.53016358372,-5680.530163583724,5680.530163583724,-7.462892867012262
