model,RMSE,MAE,MAPE (%)
ETS,32881.40764519816,27981.797469718687,20.30104683885844
HTS 1,16270.200274991104,13482.876466685098,9.896068756136959
HTS 2,25149.399658558894,19836.169377426177,13.793152119278135
SARIMAX,25508.99045982909,20592.730917229008,14.293002196452456
actual,0.0,0.0,0.0
xgboost,18387.4817251644,15238.287000000002,11.351639649574565
