Continente;cod continente;País;cod pais;UF;cod uf;Via;cod via;ano;Mês;cod mes;Chegadas
África;1;África do Sul;2;Acre;1;Terrestre;2;2017;janeiro;1;0
África;1;Angola;6;Acre;1;Terrestre;2;2017;janeiro;1;0
África;1;Cabo Verde;35;Acre;1;Terrestre;2;2017;janeiro;1;0
África;1;Egito;60;Acre;1;Terrestre;2;2017;janeiro;1;0
África;1;Gana;77;Acre;1;Terrestre;2;2017;janeiro;1;0
África;1;Marrocos;143;Acre;1;Terrestre;2;2017;janeiro;1;0
África;1;Moçambique;151;Acre;1;Terrestre;2;2017;janeiro;1;0
África;1;Nigéria;162;Acre;1;Terrestre;2;2017;janeiro;1;0
África;1;Quênia;180;Acre;1;Terrestre;2;2017;janeiro;1;0
África;1;Tunísia;228;Acre;1;Terrestre;2;2017;janeiro;1;0
África;1;Outros países;998;Acre;1;Terrestre;2;2017;janeiro;1;0
América Central e Caribe;2;Costa Rica;53;Acre;1;Terrestre;2;2017;janeiro;1;0
América Central e Caribe;2;Cuba;55;Acre;1;Terrestre;2;2017;janeiro;1;0
América Central e Caribe;2;El Salvador;61;Acre;1;Terrestre;2;2017;janeiro;1;0
América Central e Caribe;2;Guatemala;84;Acre;1;Terrestre;2;2017;janeiro;1;0
América Central e Caribe;2;Haiti;91;Acre;1;Terrestre;2;2017;janeiro;1;0
América Central e Caribe;2;Honduras;93;Acre;1;Terrestre;2;2017;janeiro;1;0
América Central e Caribe;2;Nicarágua;160;Acre;1;Terrestre;2;2017;janeiro;1;0
América Central e Caribe;2;Panamá;170;Acre;1;Terrestre;2;2017;janeiro;1;0
América Central e Caribe;2;República Dominicana;186;Acre;1;Terrestre;2;2017;janeiro;1;0
América Central e Caribe;2;Trinidad e Tobago;227;Acre;1;Terrestre;2;2017;janeiro;1;0
América Central e Caribe;2;Outros países;998;Acre;1;Terrestre;2;2017;janeiro;1;0
América do Norte;3;Canadá;38;Acre;1;Terrestre;2;2017;janeiro;1;1
América do Norte;3;Estados Unidos;68;Acre;1;Terrestre;2;2017;janeiro;1;8
América do Norte;3;México;148;Acre;1;Terrestre;2;2017;janeiro;1;0
