Continente;cod continente;País;cod pais;UF;cod uf;Via;cod via;ano;Mês;cod mes;Chegadas
África;1;África do Sul;2;Acre;1;Fluvial;4;2018;janeiro;1;0
África;1;África do Sul;2;Acre;1;Fluvial;4;2018;fevereiro;2;0
África;1;África do Sul;2;Acre;1;Fluvial;4;2018;março;3;0
África;1;África do Sul;2;Acre;1;Fluvial;4;2018;abril;4;0
África;1;África do Sul;2;Acre;1;Fluvial;4;2018;maio;5;0
África;1;África do Sul;2;Acre;1;Fluvial;4;2018;junho;6;0
África;1;África do Sul;2;Acre;1;Fluvial;4;2018;julho;7;0
África;1;África do Sul;2;Acre;1;Fluvial;4;2018;agosto;8;0
África;1;África do Sul;2;Acre;1;Fluvial;4;2018;setembro;9;0
África;1;África do Sul;2;Acre;1;Fluvial;4;2018;outubro;10;0
África;1;África do Sul;2;Acre;1;Fluvial;4;2018;novembro;11;0
África;1;África do Sul;2;Acre;1;Fluvial;4;2018;dezembro;12;0
Europa;6;Alemanha;4;Acre;1;Fluvial;4;2018;janeiro;1;0
Europa;6;Alemanha;4;Acre;1;Fluvial;4;2018;fevereiro;2;0
Europa;6;Alemanha;4;Acre;1;Fluvial;4;2018;março;3;0
Europa;6;Alemanha;4;Acre;1;Fluvial;4;2018;abril;4;0
Europa;6;Alemanha;4;Acre;1;Fluvial;4;2018;maio;5;0
Europa;6;Alemanha;4;Acre;1;Fluvial;4;2018;junho;6;0
Europa;6;Alemanha;4;Acre;1;Fluvial;4;2018;julho;7;0
Europa;6;Alemanha;4;Acre;1;Fluvial;4;2018;agosto;8;0
Europa;6;Alemanha;4;Acre;1;Fluvial;4;2018;setembro;9;0
Europa;6;Alemanha;4;Acre;1;Fluvial;4;2018;outubro;10;0
Europa;6;Alemanha;4;Acre;1;Fluvial;4;2018;novembro;11;0
Europa;6;Alemanha;4;Acre;1;Fluvial;4;2018;dezembro;12;0
África;1;Angola;6;Acre;1;Fluvial;4;2018;janeiro;1;0
África;1;Angola;6;Acre;1;Fluvial;4;2018;fevereiro;2;0
