Continente;cod continente;País;cod pais;UF;cod uf;Via;cod via;ano;Mês;cod mes;Chegadas
África;1;África do Sul;2;Acre;1;Aérea;1;2020;janeiro;1;0
África;1;Angola;6;Acre;1;Aérea;1;2020;janeiro;1;0
África;1;Cabo Verde;35;Acre;1;Aérea;1;2020;janeiro;1;0
África;1;Egito;60;Acre;1;Aérea;1;2020;janeiro;1;0
África;1;Gana;77;Acre;1;Aérea;1;2020;janeiro;1;0
África;1;Marrocos;143;Acre;1;Aérea;1;2020;janeiro;1;0
África;1;Moçambique;151;Acre;1;Aérea;1;2020;janeiro;1;0
África;1;Nigéria;162;Acre;1;Aérea;1;2020;janeiro;1;0
África;1;Quênia;180;Acre;1;Aérea;1;2020;janeiro;1;0
África;1;Tunísia;228;Acre;1;Aérea;1;2020;janeiro;1;0
África;1;Outros países;998;Acre;1;Aérea;1;2020;janeiro;1;0
América Central e Caribe;2;Costa Rica;53;Acre;1;Aérea;1;2020;janeiro;1;0
América Central e Caribe;2;Cuba;55;Acre;1;Aérea;1;2020;janeiro;1;0
América Central e Caribe;2;El Salvador;61;Acre;1;Aérea;1;2020;janeiro;1;0
América Central e Caribe;2;Guatemala;84;Acre;1;Aérea;1;2020;janeiro;1;0
América Central e Caribe;2;Haiti;91;Acre;1;Aérea;1;2020;janeiro;1;0
América Central e Caribe;2;Honduras;93;Acre;1;Aérea;1;2020;janeiro;1;0
América Central e Caribe;2;Nicarágua;160;Acre;1;Aérea;1;2020;janeiro;1;0
América Central e Caribe;2;Panamá;170;Acre;1;Aérea;1;2020;janeiro;1;0
América Central e Caribe;2;República Dominicana;186;Acre;1;Aérea;1;2020;janeiro;1;0
América Central e Caribe;2;Trinidad e Tobago;227;Acre;1;Aérea;1;2020;janeiro;1;0
América Central e Caribe;2;Outros países;998;Acre;1;Aérea;1;2020;janeiro;1;0
América do Norte;3;Canadá;38;Acre;1;Aérea;1;2020;janeiro;1;0
América do Norte;3;Estados Unidos;68;Acre;1;Aérea;1;2020;janeiro;1;0
América do Norte;3;México;148;Acre;1;Aérea;1;2020;janeiro;1;0
América do Sul;4;Argentina;11;Acre;1;Aérea;1;2020;janeiro;1;0
América do Sul;4;Bolívia;26;Acre;1;Aérea;1;2020;janeiro;1;0
América do Sul;4;Chile;42;Acre;1;Aérea;1;2020;janeiro;1;0
América do Sul;4;Colômbia;48;Acre;1;Aérea;1;2020;janeiro;1;0
América do Sul;4;Equador;63;Acre;1;Aérea;1;2020;janeiro;1;0
América do Sul;4;Guiana;86;Acre;1;Aérea;1;2020;janeiro;1;0
América do Sul;4;Guiana Francesa;87;Acre;1;Aérea;1;2020;janeiro;1;0
América do Sul;4;Paraguai;173;Acre;1;Aérea;1;2020;janeiro;1;0
América do Sul;4;Peru;174;Acre;1;Aérea;1;2020;janeiro;1;0
América do Sul;4;Suriname;217;Acre;1;Aérea;1;2020;janeiro;1;0
América do Sul;4;Uruguai;234;Acre;1;Aérea;1;2020;janeiro;1;0
América do Sul;4;Venezuela;238;Acre;1;Aérea;1;2020;janeiro;1;0
Ásia;5;Arábia Saudita;9;Acre;1;Aérea;1;2020;janeiro;1;0
Ásia;5;Bangladesh;18;Acre;1;Aérea;1;2020;janeiro;1;0
Ásia;5;China;43;Acre;1;Aérea;1;2020;janeiro;1;0
Ásia;5;China, Hong Kong;44;Acre;1;Aérea;1;2020;janeiro;1;0
Ásia;5;Cingapura;47;Acre;1;Aérea;1;2020;janeiro;1;0
Ásia;5;Filipinas;72;Acre;1;Aérea;1;2020;janeiro;1;0
Ásia;5;Índia;113;Acre;1;Aérea;1;2020;janeiro;1;0
Ásia;5;Indonésia;114;Acre;1;Aérea;1;2020;janeiro;1;0
Ásia;5;Irã;115;Acre;1;Aérea;1;2020;janeiro;1;0
Ásia;5;Israel;119;Acre;1;Aérea;1;2020;janeiro;1;0
Ásia;5;Japão;122;Acre;1;Aérea;1;2020;janeiro;1;0
Ásia;5;Líbano;130;Acre;1;Aérea;1;2020;janeiro;1;0
Ásia;5;Malásia;138;Acre;1;Aérea;1;2020;janeiro;1;0
Ásia;5;Paquistão;172;Acre;1;Aérea;1;2020;janeiro;1;0
Ásia;5;República da Coreia;184;Acre;1;Aérea;1;2020;janeiro;1;0
Ásia;5;Síria;209;Acre;1;Aérea;1;2020;janeiro;1;0
