ds,simulation,set,value
2010-07-01,sim_0,train,63481.363042724435
2010-08-01,sim_0,train,63873.109953550535
2010-09-01,sim_0,train,58850.80186254346
2010-10-01,sim_0,train,82972.85356307292
2010-11-01,sim_0,train,78917.22990833141
2010-12-01,sim_0,train,105408.06044994948
2011-01-01,sim_0,train,100502.45087916873
2011-02-01,sim_0,train,121664.89167342105
2011-03-01,sim_0,train,121319.59380041798
2011-04-01,sim_0,train,82809.02602114454
2011-05-01,sim_0,train,63185.064035912015
2011-06-01,sim_0,train,65880.58334123432
2011-07-01,sim_0,train,77090.76986232946
2011-08-01,sim_0,train,98772.01663588909
2011-09-01,sim_0,train,70966.86437011963
2011-10-01,sim_0,train,85518.14232506715
2011-11-01,sim_0,train,49684.21885841564
2011-12-01,sim_0,train,126344.19114515273
2012-01-01,sim_0,train,102810.38508232885
2012-02-01,sim_0,train,130050.90318679006
2012-03-01,sim_0,train,121024.49985743647
2012-04-01,sim_0,train,86246.25486140786
2012-05-01,sim_0,train,64502.121764543335
2012-06-01,sim_0,train,90792.55386750333
2012-07-01,sim_0,train,98940.89748937698
2012-08-01,sim_0,train,76872.32832766385
2012-09-01,sim_0,train,66408.0722221901
2012-10-01,sim_0,train,85499.74676544606
2012-11-01,sim_0,train,97336.27110975483
2012-12-01,sim_0,train,130832.3049092914
2013-01-01,sim_0,train,105587.89718013909
2013-02-01,sim_0,train,115101.6981476569
2013-03-01,sim_0,train,117837.19802826659
2013-04-01,sim_0,train,96575.41425452361
2013-05-01,sim_0,train,74737.15110649106
2013-06-01,sim_0,train,118438.21700940329
2013-07-01,sim_0,train,109884.88265215786
2013-08-01,sim_0,train,82056.54813660258
2013-09-01,sim_0,train,65204.533558610725
2013-10-01,sim_0,train,117428.36831213253
2013-11-01,sim_0,train,108565.461485071
2013-12-01,sim_0,train,156055.3953845509
2014-01-01,sim_0,train,130908.36637087172
2014-02-01,sim_0,train,147418.45527073834
2014-03-01,sim_0,train,135063.54233347852
2014-04-01,sim_0,train,102368.26021604781
2014-05-01,sim_0,train,93740.62264633519
2014-06-01,sim_0,train,137865.18203561835
2014-07-01,sim_0,train,138514.21052987632
2014-08-01,sim_0,train,113971.9196250739
2014-09-01,sim_0,train,87048.59728882936
2014-10-01,sim_0,train,119752.79840442167
